# Vayyar & Minicircuits VNAKit
# Frequency range: [2000 - 2700 (mhz)], 1001 measurements.
# RBW: 2(khz); OutputPower: 0(dbm); transmitting from trPort 3

FREQUENCY(MHZ),1_I,1_Q,2_I,2_Q,3_I,3_Q,4_I,4_Q,5_I,5_Q,6_I,6_Q
2072.1,-0.00164648,0.0150938,0.087425,-0.0926429,0,0,0.113964,0.0763851,0.00168267,0.00354354,-0.0411468,-0.101537
2072.8,-0.00106693,0.015208,0.0868083,-0.0935312,0,0,0.11583,0.0739221,0.0018533,0.00350709,-0.0440462,-0.100325
2073.5,-0.000500776,0.0152832,0.0860348,-0.0943052,0,0,0.1176,0.0713256,0.00198653,0.00343333,-0.0469553,-0.0990049
2074.2,6.69031e-05,0.0153481,0.0852222,-0.0950592,0,0,0.119198,0.0687045,0.00212415,0.00336453,-0.0497978,-0.0976094
2074.9,0.000601529,0.0153961,0.0845199,-0.0958122,0,0,0.120787,0.0660353,0.00226767,0.00330039,-0.0525883,-0.096146
2075.6,0.00120418,0.0153189,0.0833832,-0.0962894,0,0,0.121903,0.0630561,0.00240179,0.00321445,-0.0553884,-0.0945352
2076.3,0.00177068,0.0153572,0.0827615,-0.097185,0,0,0.123526,0.0604597,0.0025464,0.00314336,-0.0580493,-0.0929504
2077,0.0023538,0.0152924,0.0819554,-0.0978891,0,0,0.124915,0.057639,0.00268611,0.00308385,-0.0607286,-0.091215
2077.7,0.00291161,0.0152932,0.0814491,-0.0988114,0,0,0.126594,0.0550973,0.00281742,0.0029731,-0.0632809,-0.0894906
2078.4,0.00349188,0.0152081,0.0806675,-0.0995587,0,0,0.127925,0.0522796,0.00295254,0.00291293,-0.065837,-0.0876292
2079.1,0.00406722,0.0150471,0.0797658,-0.100183,0,0,0.12893,0.0492252,0.00310645,0.00281906,-0.0683727,-0.0856608
2079.8,0.00463177,0.0148788,0.0787239,-0.100727,0,0,0.129882,0.0462065,0.00320396,0.00268767,-0.0708426,-0.0836289
2080.5,0.00520058,0.0147548,0.0779663,-0.101477,0,0,0.131104,0.0433532,0.00334174,0.00256948,-0.0732345,-0.081548
2081.2,0.00573838,0.0145835,0.0772431,-0.102304,0,0,0.13224,0.0404432,0.00342377,0.00245078,-0.075559,-0.0794141
2081.9,0.00628157,0.0143535,0.0762465,-0.102871,0,0,0.133001,0.0374036,0.00355198,0.00234081,-0.0778255,-0.0771862
2082.6,0.00681636,0.0141231,0.0752928,-0.10347,0,0,0.133746,0.0342691,0.00362382,0.00220723,-0.0800652,-0.07485
2083.3,0.00736267,0.0138808,0.074618,-0.104197,0,0,0.134754,0.0313486,0.00377033,0.00209169,-0.0821716,-0.0725585
2084,0.00786238,0.0135802,0.0736027,-0.104771,0,0,0.135296,0.0282099,0.00381939,0.00192872,-0.0842565,-0.0701109
2084.7,0.00838933,0.0132731,0.0725661,-0.105292,0,0,0.135777,0.0250791,0.00395089,0.00179329,-0.0862649,-0.0676102
2085.4,0.00887478,0.0129888,0.0717823,-0.106089,0,0,0.136569,0.0220388,0.00403173,0.0016366,-0.0882088,-0.0650807
2086.1,0.0093363,0.0126335,0.0709087,-0.106709,0,0,0.137046,0.0189234,0.00409652,0.00150172,-0.0900483,-0.0625179
2086.8,0.00982434,0.0122841,0.0700516,-0.107369,0,0,0.137597,0.0158507,0.00417502,0.00135302,-0.0918333,-0.0598714
2087.5,0.0102804,0.0118919,0.0689795,-0.107945,0,0,0.13785,0.0125868,0.00425967,0.00121273,-0.0935798,-0.0571015
2088.2,0.0107366,0.0115241,0.0682243,-0.108743,0,0,0.138402,0.00952414,0.004303,0.0010426,-0.095187,-0.0544098
2088.9,0.0111486,0.0111307,0.0674235,-0.109394,0,0,0.138746,0.00638937,0.00440641,0.000883361,-0.096721,-0.0516511
2089.6,0.0115286,0.0106815,0.0665536,-0.109915,0,0,0.138864,0.00329294,0.00446532,0.000722178,-0.0981636,-0.0488484
2090.3,0.0119281,0.0102269,0.0654689,-0.11053,0,0,0.138932,-1.11756e-05,0.0044999,0.000529302,-0.0995892,-0.0458863
2091,0.0123046,0.00978577,0.0646148,-0.11115,0,0,0.13904,-0.00314685,0.00452721,0.00039587,-0.100873,-0.0429965
2091.7,0.0126411,0.0092631,0.0635095,-0.1117,0,0,0.138787,-0.00644931,0.00453723,0.000215621,-0.102117,-0.0399628
2092.4,0.0129719,0.00876352,0.0625854,-0.112192,0,0,0.138683,-0.00955066,0.00461941,2.56616e-05,-0.103234,-0.0369949
2093.1,0.0132893,0.00830598,0.0617823,-0.112962,0,0,0.138749,-0.012741,0.00462476,-0.000127511,-0.104273,-0.034
2093.8,0.0135509,0.00775067,0.0606072,-0.113242,0,0,0.138141,-0.0159319,0.00462565,-0.000323031,-0.105227,-0.0308879
2094.5,0.0137824,0.00723153,0.059693,-0.113848,0,0,0.137847,-0.0191143,0.00462928,-0.000492335,-0.106094,-0.0277849
2095.2,0.0140469,0.00669843,0.0587803,-0.114442,0,0,0.137551,-0.0222537,0.00462598,-0.00068283,-0.106866,-0.0247052
2095.9,0.0142593,0.00615283,0.0579242,-0.115196,0,0,0.137342,-0.0255084,0.00466144,-0.000838877,-0.10756,-0.0215652
2096.6,0.0144615,0.00559611,0.0567758,-0.115481,0,0,0.136459,-0.0286637,0.00459813,-0.00101716,-0.108148,-0.0183649
2097.3,0.0146432,0.00504063,0.0559702,-0.116276,0,0,0.136216,-0.0317938,0.00462837,-0.00121821,-0.108653,-0.0152398
2098,0.0147598,0.00446347,0.0548185,-0.116551,0,0,0.135148,-0.0349299,0.0045954,-0.00139551,-0.109048,-0.0120215
2098.7,0.0148974,0.00389629,0.0540185,-0.117371,0,0,0.134751,-0.0380723,0.0045652,-0.00158076,-0.109372,-0.00887659
2099.4,0.0149958,0.00329899,0.0529626,-0.117812,0,0,0.133811,-0.0412203,0.00448045,-0.0017438,-0.109595,-0.00563252
2100.1,0.0150234,0.00274401,0.0518761,-0.118092,0,0,0.132715,-0.0442219,0.00444387,-0.00192096,-0.109703,-0.00242115
2100.8,0.0150558,0.00215374,0.0507705,-0.118498,0,0,0.1316,-0.0472816,0.00438471,-0.00209059,-0.109727,0.000832262
2101.5,0.0150748,0.00155134,0.0498141,-0.118983,0,0,0.130617,-0.0503257,0.00432562,-0.00228107,-0.10967,0.00404658
2102.2,0.0150832,0.000968704,0.0488181,-0.119632,0,0,0.129647,-0.0534671,0.00430483,-0.00246909,-0.109517,0.00727571
2102.9,0.0150142,0.000401273,0.0477042,-0.119932,0,0,0.128248,-0.0564229,0.00419046,-0.00259745,-0.109259,0.0105291
2103.6,0.0150013,-0.000163034,0.0468494,-0.120598,0,0,0.127303,-0.0594177,0.00410869,-0.00280573,-0.108924,0.0136663
2104.3,0.0148501,-0.000723247,0.0455291,-0.120564,0,0,0.125345,-0.0622173,0.0039993,-0.00294097,-0.108452,0.0169217
